ddb,9951770,7049,22,61
ddc,9958671,8916,143,215
ddd,9843607,9118,137,203
dde,9875500,8434,211,418
ddf,9997033,9353,27,93
ddg,9414059,8733,119,182
dea,9867324,8424,309,559
deb,9985963,8094,69,102
dec,9968751,8641,12,34
ded,9638369,8833,102,217
dee,9921466,8959,153,205
def,9625695,8642,74,200
deg,9888900,9145,34,78
dfa,9909931,8949,167,302
dfb,9985178,8068,63,196
dfc,9970300,8987,49,80
dfd,9849164,9705,25,96
dfe,9922625,7449,41,88
dff,9983958,9309,23,49
dfg,9594544,7940,62,180
dga,9806332,7899,5,6
dgb,9370963,8140,218,358
dgc,9946499,8852,61,95
dgd,9921613,9040,128,221
dge,9810198,10559,111,239
dgf,9278514,8770,192,352
dgg,9774415,8037,47,147
eaa,9892933,9225,64,117
eab,9942814,7753,173,256
eac,9842312,9172,286,540
ead,9724896,9734,61,132
eae,9502712,10134,154,362
eaf,9697167,9233,67,107
eag,9865330,8456,78,269
eba,9743672,8183,11,36
ebb,9989641,10840,150,328
ebc,9954395,10226,379,566
ebd,9999660,8223,238,466
ebe,9989338,9311,169,286
ebf,9956076,8140,276,433
ebg,9947795,7703,21,66
eca,9944606,8362,46,159
ecb,9964595,8405,30,92
ecc,9822630,8402,28,75
ecd,9992580,8271,106,195
ece,9967767,8443,103,242
ecf,9998588,8427,408,798
ecg,9908878,9374,74,284
eda,9941010,7580,6,18
edb,9494907,8484,224,381
edc,9526391,9095,125,266
edd,9667153,7847,36,69
ede,9877636,8557,81,159
edf,9982795,10297,62,208
edg,9972105,8003,7,20
eea,9961645,8252,82,175
eeb,9996187,9634,33,119
eec,9741344,11117,61,155
eed,9748183,9426,9,28
eee,9964777,8160,108,172
eef,9683645,11206,305,458
eeg,9581553,8906,66,105
efa,9937779,8437,61,183
efb,9963505,7073,143,240
efc,9767777,7874,36,78
efd,9916273,9332,21,56
efe,9999287,8996,266,462
eff,9836518,9246,274,506
efg,9945330,8967,25,88
ega,9595324,8543,173,354
egb,9953338,7565,110,198
egc,9903732,8347,41,120
egd,9988274,9311,41,155
ege,9221119,9534,200,331
egf,9999688,8130,206,303
egg,9736427,10442,124,319
faa,9784211,9096,90,263
fab,9751256,9657,161,269
fac,9994709,8855,68,108
fad,9785225,8655,9,28
fae,9602095,9340,202,361
faf,9841946,10139,48,164
fag,9848963,10469,97,155
fba,9954685,7591,99,132
fbb,9923055,8301,320,529
fbc,9825829,7604,196,352
fbd,9981231,8623,50,175
fbe,9822024,11096,13,30
fbf,9892982,7638,236,367
fbg,9980287,8043,13,56
fca,9939065,7967,68,95
fcb,9891685,9485,30,85
fcc,9828677,10192,50,90
fcd,9561693,9063,317,498
fce,9220023,9371,107,211
fcf,9860930,8558,159,210
fcg,9761453,11631,45,134
fda,9655074,9275,5,12
fdb,9915025,7980,152,309
fdc,9994459,7871,5,8
fdd,9912529,9109,32,123
fde,9702820,7185,5,11
fdf,9452122,9660,51,122
fdg,9818257,9472,33,128
fea,9991594,8140,60,148
feb,9991538,8339,140,199
fec,9728192,10376,62,105
fed,9788275,9913,109,195
fee,9926294,8732,47,143
fef,9964796,8891,142,319
feg,9983117,7762,143,298
ffa,9133402,8296,57,101
ffb,9834682,8378,102,189
ffc,9891449,11074,131,203
ffd,9882512,8137,63,108
ffe,9822336,9277,46,94
fff,9884403,8814,143,225
ffg,9934178,6656,166,260
fga,9949820,8602,107,284
fgb,9857125,8294,83,190
fgc,9774154,8537,7,18
fgd,9958018,8825,287,510
fge,9807848,8167,30,80
fgf,9565121,9601,427,782
fgg,9721064,8904,85,175
gaa,9920175,6950,30,131
gab,9895570,9445,13,33
gac,9828679,9800,74,195
gad,9997966,7892,254,443
gae,9995056,6869,176,296
gaf,9887778,9037,265,427
gag,9981586,8926,118,168
gba,9943016,9034,84,209
gbb,9999296,8418,5,7
gbc,9937618,8247,14,34
gbd,9992208,8804,55,169
gbe,9883877,9942,442,742
gbf,9996983,8297,74,200
gbg,9947912,8775,21,88
gca,9973286,10786,18,96
gcb,9829598,8549,93,255
gcc,9854450,9625,135,279
gcd,9549925,8792,158,242
gce,9962409,10078,179,426
gcf,9816965,8474,87,162
gcg,9983956,8524,5,15
gda,9761565,10249,84,266
gdb,9822217,8587,163,279
gdc,9925781,9737,142,255
gdd,9889246,9250,153,274
gde,9585019,10637,209,346
gdf,9924345,9777,6,19
gdg,9764656,8853,152,284
gea,9747087,8412,212,372
geb,9933297,11982,18,87
gec,9939612,8655,5,12
ged,9786456,7815,38,84
gee,9845860,9199,301,520
gef,9804719,9489,25,99
geg,9462943,9328,159,280
gfa,9873540,7791,211,321
gfb,9902363,10955,93,266
gfc,9629492,10450,157,320
gfd,9743875,7372,68,160
gfe,9662107,8713,11,23
gff,9924237,10285,119,290
gfg,9837973,11534,21,82
gga,9965280,9471,7,20
ggb,9977480,8752,42,57
ggc,9902658,9571,107,261
ggd,9992492,8642,5,6
gge,9973853,10758,11,39
ggf,9532829,8670,116,199
ggg,9980713,8897,105,287
